schema_version,campaign_id,protocol_id,protocol_version,apparatus_id,safety_manifest_id,run_id,analysis_group_id,run_role,control_type,planned_replicate,randomized_order,status,admission_status,evidence_status,material_set,ps_batch_id,salt_batch_id,steel_batch_id,ps_input_g,salt_input_g,steel_input_g,particle_size_spec_id,mixture_ratio_spec,target_speed_level,target_speed_rpm,observed_speed_mean_rpm,observed_speed_sd_rpm,target_airflow_level,target_airflow_m3_s,observed_airflow_mean_m3_s,observed_airflow_sd_m3_s,target_feed_rate_g_s,observed_feed_rate_g_s,target_residence_s,observed_residence_s,relative_humidity_pct,outlet_assignment_version,outlet_assignment_frozen,ps_purity,salt_purity,steel_purity,ps_recovery,salt_recovery,steel_recovery,macro_recovery,mass_closure,throughput_g_s,operational_throughput_g_s,energy_Wh,specific_energy_Wh_kg,assay_mass_uncertainty_g,energy_uncertainty_Wh,containment_intact,safety_stop_triggered,anomaly_count,mass_closure_min,mass_closure_max,purity_min_each,recovery_min_each,max_recovery_sd_pp,baseline_comparator,min_active_gain_pp,decision_ready,decision,falsification_reason,physical_record_uri,epistemic_record_uri,notes
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,A1-R1,A1,principal_mixed,none,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,low,,, ,low,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,A1-R2,A1,principal_mixed,none,2,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,low,,, ,low,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,A1-R3,A1,principal_mixed,none,3,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,low,,, ,low,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,A2-R1,A2,principal_mixed,none,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,low,,, ,medium,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,A2-R2,A2,principal_mixed,none,2,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,low,,, ,medium,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,A2-R3,A2,principal_mixed,none,3,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,low,,, ,medium,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,A3-R1,A3,principal_mixed,none,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,low,,, ,high,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,A3-R2,A3,principal_mixed,none,2,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,low,,, ,high,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,A3-R3,A3,principal_mixed,none,3,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,low,,, ,high,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,B1-R1,B1,principal_mixed,none,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,medium,,, ,low,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,B1-R2,B1,principal_mixed,none,2,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,medium,,, ,low,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,B1-R3,B1,principal_mixed,none,3,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,medium,,, ,low,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,B2-R1,B2,principal_mixed,none,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,medium,,, ,medium,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,B2-R2,B2,principal_mixed,none,2,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,medium,,, ,medium,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,B2-R3,B2,principal_mixed,none,3,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,medium,,, ,medium,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,B3-R1,B3,principal_mixed,none,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,medium,,, ,high,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,B3-R2,B3,principal_mixed,none,2,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,medium,,, ,high,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,B3-R3,B3,principal_mixed,none,3,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,medium,,, ,high,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,C1-R1,C1,principal_mixed,none,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,high,,, ,low,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,C1-R2,C1,principal_mixed,none,2,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,high,,, ,low,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,C1-R3,C1,principal_mixed,none,3,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,high,,, ,low,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,C2-R1,C2,principal_mixed,none,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,high,,, ,medium,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,C2-R2,C2,principal_mixed,none,2,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,high,,, ,medium,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,C2-R3,C2,principal_mixed,none,3,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,high,,, ,medium,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,C3-R1,C3,principal_mixed,none,1,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,high,,, ,high,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,C3-R2,C3,principal_mixed,none,2,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,high,,, ,high,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-screen,centerfuge-fast-solids-001,0.1.0,,,C3-R3,C3,principal_mixed,none,3,,planned,pending,M,ps+salt+steel,,,,,,,,equal_mass,high,,, ,high,,, ,,,,,,,pending,false,,,,,,,,,,,,,,,,,0.98,1.02,0.90,0.80,10,gravity+airflow_only,,false,not_evaluated,,,,
1,exp001-controls,centerfuge-fast-solids-001,0.1.0,,,CTRL-EMPTY,CTRL-EMPTY,commissioning_control,empty,1,,planned,pending,M,none,,,,,,,,none,off,0,,,off,0,,,,,,,,,none,true,,,,,,,,,,,,,,,,,0.98,1.02,,,,none,,false,not_evaluated,,,,background vibration power airflow and carryover
